sample_id,distortion,level_index,level,restoration_recipe_version,restoration_method,restoration_parameters,restoration_runtime_ms,distorted_snr_db,restored_snr_db,snr_gain_db,distorted_psnr_db,restored_psnr_db,psnr_gain_db,distorted_ssim,restored_ssim,ssim_gain,distorted_mae,restored_mae,mae_reduction,orb_restored,canny_restored,seg_restored_image_miou,detections_restored,detections_distorted,orb_distorted,canny_distorted,seg_distorted_image_miou
frankfurt_000000_020321,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",69.42849999995815,18.5802985865823,19.228138185816746,0.6478395992344481,26.927333567026253,27.57517358158555,0.6478400145592964,0.8251690864562988,0.8668923377990723,0.04172325134277344,8.833420753479004,8.248791694641113,0.5846290588378906,0.4825,0.7970316180145008,0.274921334575482,205,211,0.495,0.8618641054181511,0.2717141836449918
frankfurt_000000_021667,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",66.9023999998899,21.225984913933218,21.90665061957198,0.6806657056387628,27.694172819860054,28.37483895128498,0.6806661314249247,0.7903589010238647,0.8354451060295105,0.04508620500564575,8.284229278564453,7.67315149307251,0.6110777854919434,0.48375,0.8527639053802898,0.23234270466902357,83,98,0.47,0.8752981797508248,0.2391096116142775
frankfurt_000000_021879,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.22310000006837,21.11196192873827,21.77927042467666,0.6673084959383893,28.845664299466588,29.512973290274907,0.6673089908083192,0.8400930166244507,0.8762868642807007,0.03619384765625,7.3337249755859375,6.821313858032227,0.5124111175537109,0.37625,0.8225456620123308,0.23384354098194066,212,213,0.3675,0.8657626211662112,0.23383740524673516
frankfurt_000000_022254,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",70.62580000001617,18.23383169063096,18.95501967032613,0.7211879796951699,28.083148900346693,28.80433691056797,0.721188010221276,0.8499270677566528,0.8913198113441467,0.041392743587493896,7.90600061416626,7.300422668457031,0.6055779457092285,0.46875,0.7307444987544717,0.21674097667094272,208,216,0.455,0.8313598149830634,0.20732006216229953
frankfurt_000000_022797,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.82390000009764,19.637927195764874,20.317328603373586,0.6794014076087116,27.055539211612253,27.734940695973542,0.6794014843612892,0.8305151462554932,0.8690029382705688,0.038487792015075684,8.513113021850586,7.943426609039307,0.5696864128112793,0.4975,0.8400566772298225,0.3155919181711119,180,177,0.49,0.8694234003812713,0.31972032144812584
frankfurt_000001_002512,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",67.58850000005623,20.570455246898266,21.305285108684274,0.7348298617860074,28.352031454390033,29.086861489367873,0.7348300349778398,0.834958553314209,0.8767073154449463,0.041748762130737305,7.773814678192139,7.177954196929932,0.595860481262207,0.4425,0.8090396669514823,0.14577268589253894,210,212,0.43875,0.834701874504327,0.1528507619290762
frankfurt_000001_005184,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",66.00880000041798,19.11604002467544,19.746350862326153,0.6303108376507147,27.317647925671515,27.947958808941333,0.6303108832698179,0.8304205536842346,0.8664489984512329,0.03602844476699829,8.460745811462402,7.9219818115234375,0.5387639999389648,0.4125,0.7281975312853535,0.3687054170399715,189,204,0.4075,0.8394458251772622,0.35910631826034023
frankfurt_000001_005898,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",67.93889999971725,18.544314643824357,19.17503154918245,0.6307169053580921,27.35387974153757,27.984596560661906,0.6307168191243377,0.8218842148780823,0.8622642159461975,0.040380001068115234,8.564007759094238,8.032549858093262,0.5314579010009766,0.4,0.7775422412531906,0.2064425949425174,158,186,0.415,0.7971987665538174,0.21900709860799702
frankfurt_000001_007973,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",67.10329999987152,18.944447720875935,19.675862562039047,0.7314148411631116,27.081782148598798,27.813196782361175,0.7314146337623768,0.8071835041046143,0.8518273234367371,0.0446438193321228,8.717028617858887,8.020627975463867,0.6964006423950195,0.4825,0.8374006656496619,0.22508070806153482,199,203,0.4725,0.8360963433353873,0.2260540900524081
frankfurt_000001_009854,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",65.571799999816,19.701622039647248,20.39902893562602,0.6974068959787729,27.73778306695313,28.435189746301287,0.6974066793481555,0.8279998302459717,0.8679187297821045,0.03991889953613281,8.132622718811035,7.565709590911865,0.5669131278991699,0.53375,0.8243847218962895,0.3203846330488489,182,187,0.525,0.8884424085057662,0.3132032024473207
