sample_id,orb_keypoints,orb_self_match_retention,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
frankfurt_000001_070099,800.0,1.0,0.52939511416186,13,20,184
frankfurt_000001_071288,800.0,1.0,0.4837740298429645,12,16,111
frankfurt_000001_071781,800.0,1.0,0.6449057850222532,12,11,90
frankfurt_000001_072155,800.0,1.0,0.45913808556030783,13,13,101
frankfurt_000001_072295,800.0,1.0,0.39487596528324376,13,13,116
frankfurt_000001_073088,800.0,1.0,0.5377446941468599,14,12,130
frankfurt_000001_073243,800.0,1.0,0.31243549341145554,14,41,165
frankfurt_000001_073464,800.0,1.0,0.2831829894822412,16,28,211
frankfurt_000001_073911,800.0,1.0,0.46552899084044724,14,27,129
frankfurt_000001_075296,800.0,1.0,0.511358328069965,13,31,190
frankfurt_000001_075984,800.0,1.0,0.4588506441483584,15,19,116
frankfurt_000001_076502,800.0,1.0,0.5495497243001449,15,31,171
frankfurt_000001_077092,800.0,1.0,0.3481966202244155,14,37,209
frankfurt_000001_077233,800.0,1.0,0.4897705951456903,13,23,154
frankfurt_000001_077434,800.0,1.0,0.49480680374469,14,20,173
frankfurt_000001_078803,800.0,1.0,0.46852128294789647,12,15,194
frankfurt_000001_079206,800.0,1.0,0.48293172851732247,15,10,115
frankfurt_000001_080091,800.0,1.0,0.46963007776044186,13,17,254
frankfurt_000001_080391,800.0,1.0,0.4376111521831854,14,26,171
frankfurt_000001_080830,800.0,1.0,0.3751609343689381,15,13,113
frankfurt_000001_082087,800.0,1.0,0.33648372182828007,16,28,245
frankfurt_000001_082466,800.0,1.0,0.4526317298449163,13,13,139
frankfurt_000001_083029,800.0,1.0,0.37626748794884585,15,15,124
frankfurt_000001_083199,800.0,1.0,0.35498811588766666,16,23,142
frankfurt_000001_083852,800.0,1.0,0.4700624174720538,13,18,149
lindau_000000_000019,800.0,1.0,0.44268745562709655,13,14,128
lindau_000001_000019,800.0,1.0,0.6087612563330496,10,5,100
lindau_000002_000019,800.0,1.0,0.5574775671957573,12,10,59
lindau_000003_000019,800.0,1.0,0.5432166085231352,11,6,70
lindau_000004_000019,800.0,1.0,0.47312044309716195,13,9,91
lindau_000005_000019,800.0,1.0,0.44996597633616486,14,29,142
lindau_000006_000019,800.0,1.0,0.4893525593028717,14,11,106
lindau_000007_000019,800.0,1.0,0.41406913065999806,15,13,118
lindau_000008_000019,800.0,1.0,0.5132732629605509,11,2,93
lindau_000009_000019,800.0,1.0,0.43692827674822876,13,12,144
lindau_000010_000019,800.0,1.0,0.5506513410052993,14,10,107
lindau_000011_000019,800.0,1.0,0.5292355198788438,13,3,47
lindau_000012_000019,800.0,1.0,0.5043633772375711,13,5,58
lindau_000013_000019,800.0,1.0,0.5721871945509187,11,18,68
lindau_000014_000019,800.0,1.0,0.5322082473977848,11,4,91
lindau_000015_000019,800.0,1.0,0.5634702927059796,11,5,57
lindau_000016_000019,800.0,1.0,0.6012225595698507,11,8,86
lindau_000017_000019,800.0,1.0,0.34978076763031507,8,0,26
lindau_000018_000019,800.0,1.0,0.33787178982121074,7,0,78
lindau_000019_000019,800.0,1.0,0.2340041546120305,6,0,20
lindau_000020_000019,800.0,1.0,0.3187576566061216,8,1,25
lindau_000021_000019,800.0,1.0,0.5040452556191265,7,0,5
lindau_000022_000019,800.0,1.0,0.445662420301268,12,4,39
lindau_000023_000019,800.0,1.0,0.5682854707748376,12,8,101
lindau_000024_000019,800.0,1.0,0.4406255852761811,14,13,188
lindau_000025_000019,800.0,1.0,0.3917013448265799,13,10,89
lindau_000026_000019,800.0,1.0,0.40707898692429095,11,8,33
lindau_000027_000019,800.0,1.0,0.5276339174997127,8,6,38
lindau_000028_000019,800.0,1.0,0.5408170151140266,10,5,22
lindau_000029_000019,800.0,1.0,0.301467166228394,12,7,89
lindau_000030_000019,800.0,1.0,0.2797500927288886,10,1,22
lindau_000031_000019,800.0,1.0,0.43945881278207877,11,2,150
lindau_000032_000019,800.0,1.0,0.5459388176834606,6,0,30
lindau_000033_000019,800.0,1.0,0.4935283498184863,9,11,130
lindau_000034_000019,800.0,1.0,0.3235953478040067,10,5,97
lindau_000035_000019,800.0,1.0,0.2791114606935711,11,6,79
lindau_000036_000019,800.0,1.0,0.4412893468556414,11,2,49
lindau_000037_000019,800.0,1.0,0.5649929915905999,9,7,59
lindau_000038_000019,800.0,1.0,0.6758787349388372,9,16,176
lindau_000039_000019,800.0,1.0,0.4419970591240153,10,6,86
lindau_000040_000019,800.0,1.0,0.24618319684325582,6,0,17
lindau_000041_000019,800.0,1.0,0.41766595136428963,10,10,88
lindau_000042_000019,800.0,1.0,0.47373793826239724,11,6,106
lindau_000043_000019,800.0,1.0,0.42159068487961776,10,4,79
lindau_000044_000019,800.0,1.0,0.46725419130693724,6,2,51
lindau_000045_000019,800.0,1.0,0.3971203046472819,7,0,5
lindau_000046_000019,800.0,1.0,0.3075336826960834,10,2,31
lindau_000047_000019,800.0,1.0,0.5003535899492195,8,2,25
lindau_000048_000019,800.0,1.0,0.3981084428282974,8,1,37
lindau_000049_000019,800.0,1.0,0.32162019184747925,8,0,25
