distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
SevereJPEG,40.0,distorted,bus,0.32929295925340507,0.3963077212243838,0.025404157043879907,0.5238095238095238,0.8674573825539679,0.25,1.0,0.2857142857142857,0.4444444444444445,21.0,433.0,6.0
SevereJPEG,40.0,distorted,train,0.07106710671067107,0.33663366336633666,0.010869565217391304,0.3333333333333333,0.569628430293496,0.25,0.0,0.0,0.0,3.0,92.0,0.0
SevereJPEG,40.0,distorted,truck,0.18552267485704851,0.2344511039732736,0.020437956204379562,0.6086956521739131,0.7859021388456541,0.25,0.20689655172413793,0.2608695652173913,0.23076923076923075,23.0,685.0,29.0
SevereJPEG,40.0,restored,person,0.1810432786178293,0.34275862830357645,0.06061966771441401,0.5664335664335665,0.7239250814752186,0.25,0.6521739130434783,0.3146853146853147,0.42452830188679247,715.0,6681.0,345.0
SevereJPEG,40.0,restored,bicycle,0.0937920475139292,0.17860192594851115,0.06347062795408508,0.3381294964028777,0.6987110574743751,0.25,0.6607142857142857,0.13309352517985612,0.2215568862275449,278.0,1481.0,56.0
SevereJPEG,40.0,restored,car,0.32583642317187433,0.5312647282430759,0.0959792477302205,0.6508355321020228,0.7609663321681887,0.25,0.8372093023255814,0.41160949868073876,0.5518867924528302,1137.0,7710.0,559.0
SevereJPEG,40.0,restored,motorcycle,0.05034208443078954,0.13907897536380323,0.06382978723404255,0.24324324324324326,0.6440315571588776,0.25,0.6,0.08108108108108109,0.14285714285714288,37.0,141.0,5.0
SevereJPEG,40.0,restored,bus,0.32025623343046133,0.3962941070226425,0.025821596244131457,0.5238095238095238,0.8667127804853841,0.25,0.8571428571428571,0.2857142857142857,0.42857142857142855,21.0,426.0,7.0
SevereJPEG,40.0,restored,train,0.07106710671067107,0.33663366336633666,0.010869565217391304,0.3333333333333333,0.5609329761867445,0.25,0.0,0.0,0.0,3.0,92.0,0.0
SevereJPEG,40.0,restored,truck,0.19545033853094612,0.23996688524352897,0.020710059171597635,0.6086956521739131,0.791101510619103,0.25,0.21428571428571427,0.2608695652173913,0.23529411764705882,23.0,676.0,28.0
SevereJPEG,20.0,distorted,person,0.17171980685095198,0.33500053224511783,0.05602087052038995,0.5706293706293706,0.7103400832533393,0.25,0.6677115987460815,0.29790209790209793,0.41199226305609293,715.0,7283.0,319.0
SevereJPEG,20.0,distorted,bicycle,0.08232860313820708,0.1508830388514666,0.05926430517711172,0.3129496402877698,0.6866189863065799,0.25,0.68,0.1223021582733813,0.2073170731707317,278.0,1468.0,50.0
SevereJPEG,20.0,distorted,car,0.3162304854457193,0.5174780851151903,0.08839980544747082,0.6394019349164468,0.7598399534492666,0.25,0.8300180831826401,0.40369393139841686,0.5431952662721894,1137.0,8224.0,553.0
SevereJPEG,20.0,distorted,motorcycle,0.03830919886607253,0.103648929400629,0.046242774566473986,0.21621621621621623,0.6670054771033977,0.25,0.6,0.08108108108108109,0.14285714285714288,37.0,173.0,5.0
SevereJPEG,20.0,distorted,bus,0.3175255953985766,0.41100110011001095,0.0273972602739726,0.5714285714285714,0.8241280683116522,0.25,0.8571428571428571,0.2857142857142857,0.42857142857142855,21.0,438.0,7.0
SevereJPEG,20.0,distorted,train,0.03702970297029703,0.16831683168316833,0.012048192771084338,0.3333333333333333,0.5406366097103299,0.25,0.0,0.0,0.0,3.0,83.0,1.0
SevereJPEG,20.0,distorted,truck,0.17604265645081563,0.22332118171811915,0.017456359102244388,0.6086956521739131,0.7962550003422406,0.25,0.2222222222222222,0.2608695652173913,0.24,23.0,802.0,27.0
SevereJPEG,20.0,restored,person,0.17084058816168626,0.3300870606037286,0.05620805369127517,0.5622377622377622,0.7143635157927092,0.25,0.6698717948717948,0.2923076923076923,0.4070107108081792,715.0,7152.0,312.0
SevereJPEG,20.0,restored,bicycle,0.08111028601992298,0.14786988820347402,0.0613540197461213,0.3129496402877698,0.6930007986026949,0.25,0.6530612244897959,0.11510791366906475,0.19571865443425074,278.0,1418.0,49.0
