model,distortion,severity_index,level,sample_count,mean_snr_db,map_50_95,map_50,mean_precision_50,mean_recall_50,mean_matched_iou_50,operating_confidence,mean_precision_50_at_operating_confidence,mean_recall_50_at_operating_confidence,mean_f1_50_at_operating_confidence,ground_truth_objects,predicted_objects,evaluated_classes,operating_predicted_objects
pretrained,MotionBlur,1,3.0,500,33.23259105302922,0.1575579870923268,0.25951317441661004,0.05119831910715554,0.4598434951030833,0.7257774049845224,0.25,0.5445343604380101,0.2541129843865969,0.31922553334780657,9576.0,71472.0,7.0,4502.0
robust_seed_7,MotionBlur,1,3.0,500,33.23259105302922,0.2548731722121719,0.42217814309724394,0.06152730256109993,0.6094548301804722,0.756028767222002,0.25,0.6148544675540883,0.3790435899432421,0.46364313935927814,9576.0,89843.0,7.0,6762.0
robust_seed_17,MotionBlur,1,3.0,500,33.23259105302922,0.2671533368819786,0.4474285655008154,0.060884546930987264,0.627809394120337,0.749947241073454,0.25,0.6199522254980036,0.3974591606084091,0.4800767063311195,9576.0,88834.0,7.0,6919.0
robust_seed_29,MotionBlur,1,3.0,500,33.23259105302922,0.2543902910670413,0.42812038262038926,0.06054116245392949,0.622689363090989,0.751283448906932,0.25,0.5817137187589699,0.40052457788686185,0.4692076731907657,9576.0,85296.0,7.0,6982.0
pretrained,MotionBlur,2,5.0,500,27.291643051429546,0.15608852739576579,0.25195530455110055,0.050074598249602545,0.4504818128232437,0.7295217233172139,0.25,0.5532491822947895,0.24428659748178286,0.31226185278581287,9576.0,70911.0,7.0,4408.0
robust_seed_7,MotionBlur,2,5.0,500,27.291643051429546,0.2528823819781781,0.4191455326740628,0.06291810988074248,0.611081332942639,0.7507873637755542,0.25,0.6234199432437256,0.3740179356937983,0.46174430028480257,9576.0,89161.0,7.0,6689.0
robust_seed_17,MotionBlur,2,5.0,500,27.291643051429546,0.2618406280488751,0.4334247977585453,0.061138718658597435,0.6038088051626441,0.7484545822103795,0.25,0.6376787361785922,0.40237803660892413,0.4893211783046607,9576.0,88230.0,7.0,6889.0
robust_seed_29,MotionBlur,2,5.0,500,27.291643051429546,0.2539078471773848,0.4231764816524981,0.06256602756019371,0.6289189842011703,0.750489995108412,0.25,0.5977032593687163,0.4051425648294522,0.4774157304960377,9576.0,84726.0,7.0,6923.0
pretrained,MotionBlur,3,9.0,500,23.900952196033852,0.1441455332661282,0.23646096902854064,0.0466685558070496,0.4243252494592844,0.7302761925713037,0.25,0.5165064165860528,0.2178776311128418,0.2819997629705941,9576.0,70944.0,7.0,4154.0
robust_seed_7,MotionBlur,3,9.0,500,23.900952196033852,0.24031903211223682,0.4036651558902208,0.05621218616852875,0.5858395105470403,0.7550776499852755,0.25,0.6516546809161085,0.36659858818569646,0.4598070404756323,9576.0,91805.0,7.0,6514.0
robust_seed_17,MotionBlur,3,9.0,500,23.900952196033852,0.25265690601177976,0.4196565139051086,0.0562347213152753,0.5879862742992389,0.7537827130354005,0.25,0.6260529747118995,0.404671393007545,0.4856011443435361,9576.0,89615.0,7.0,6755.0
robust_seed_29,MotionBlur,3,9.0,500,23.900952196033852,0.24164703349561553,0.4052081695733473,0.0583159315853119,0.6108301496728752,0.7502632969504651,0.25,0.5833676021705841,0.38442096115129754,0.45506056086518115,9576.0,86619.0,7.0,6787.0
pretrained,MotionBlur,4,15.0,500,20.707219993491314,0.12150753394508643,0.20446049137187913,0.042056319849169084,0.40358986218225656,0.7205912528976758,0.25,0.5126043832588478,0.18598843576955,0.24892390714238205,9576.0,71360.0,7.0,3448.0
robust_seed_7,MotionBlur,4,15.0,500,20.707219993491314,0.21433471422954356,0.3587203022491838,0.052602748190660416,0.5429069258882999,0.749632953536436,0.25,0.6045427704492897,0.33240135606792165,0.4167060079539554,9576.0,97434.0,7.0,6319.0
robust_seed_17,MotionBlur,4,15.0,500,20.707219993491314,0.23418295974614547,0.38380266002972807,0.05164709054787021,0.5452683488341046,0.7582692440008021,0.25,0.5704866888483239,0.35815948000892706,0.43240825713253683,9576.0,92973.0,7.0,6623.0
robust_seed_29,MotionBlur,4,15.0,500,20.707219993491314,0.22655066364945473,0.38476699654238883,0.05501030842143756,0.5734526528788546,0.7416402613786891,0.25,0.5762089717748343,0.38025214613794844,0.45075652822816764,9576.0,91230.0,7.0,6722.0
pretrained,MotionBlur,5,25.0,500,18.250329146935705,0.08571629018904826,0.14385241637606466,0.03640425861165817,0.33691331814494535,0.7115906410295577,0.25,0.4497152761051687,0.12138679498891129,0.17292299494008145,9576.0,70245.0,7.0,2353.0
robust_seed_7,MotionBlur,5,25.0,500,18.250329146935705,0.18791328478220987,0.31754728302116486,0.05046511722800929,0.5078764343446754,0.7347895331872741,0.25,0.5859259996281757,0.2891338880122271,0.37417712106773166,9576.0,105081.0,7.0,5840.0
