model,distortion,severity_index,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
robust_seed_7,LowLight,2,0.6,bus,0.38782203333450627,0.4989293514179054,0.06273062730627306,0.6938775510204082,0.8359890527718247,0.25,0.6086956521739131,0.42857142857142855,0.5029940119760479,98.0,1084.0,69.0
robust_seed_7,LowLight,2,0.6,train,0.15452861248277755,0.29380057366638923,0.023483365949119372,0.5217391304347826,0.738597535822835,0.25,0.4666666666666667,0.30434782608695654,0.3684210526315789,23.0,511.0,15.0
robust_seed_7,LowLight,2,0.6,truck,0.24128068483243242,0.33426061839604004,0.04677754677754678,0.4838709677419355,0.8136929029006728,0.25,0.627906976744186,0.2903225806451613,0.39705882352941185,93.0,962.0,43.0
robust_seed_17,LowLight,2,0.6,person,0.23834652508592188,0.456048637759828,0.05510209270984311,0.6382916053019145,0.7235427423607447,0.25,0.651928504233302,0.40824742268041236,0.5020829559862344,3395.0,39327.0,2126.0
robust_seed_17,LowLight,2,0.6,bicycle,0.1737889181270355,0.3614128424720886,0.04822250383512306,0.6206008583690987,0.6982763693331642,0.25,0.6483126110124334,0.3133047210300429,0.42245370370370366,1165.0,14993.0,563.0
robust_seed_17,LowLight,2,0.6,car,0.4551798225843401,0.6819241025237169,0.11414234445961825,0.7724049000644745,0.7962464059141646,0.25,0.7546120798584787,0.6417365140769397,0.6936120789779328,4653.0,31487.0,3957.0
robust_seed_17,LowLight,2,0.6,motorcycle,0.1248633297364468,0.30070564869153943,0.09293680297397769,0.5033557046979866,0.699020113791151,0.25,0.5,0.2751677852348993,0.354978354978355,149.0,807.0,82.0
robust_seed_17,LowLight,2,0.6,bus,0.42548224226241177,0.5631255059699238,0.07407407407407407,0.7142857142857143,0.8271484940096295,0.25,0.734375,0.47959183673469385,0.5802469135802468,98.0,945.0,64.0
robust_seed_17,LowLight,2,0.6,train,0.1994725299938259,0.4269076238976052,0.017735334242837655,0.5652173913043478,0.7014257399078108,0.25,0.6666666666666666,0.34782608695652173,0.4571428571428571,23.0,733.0,12.0
robust_seed_17,LowLight,2,0.6,truck,0.24121613330280592,0.3278874499465085,0.03553660270078181,0.5376344086021505,0.7982463405745954,0.25,0.5166666666666667,0.3333333333333333,0.4052287581699346,93.0,1407.0,60.0
robust_seed_29,LowLight,2,0.6,person,0.24236701500862473,0.45844801836788635,0.057659709715012185,0.6412371134020619,0.724343968267484,0.25,0.6400547445255474,0.4132547864506627,0.5022373366744227,3395.0,37756.0,2192.0
robust_seed_29,LowLight,2,0.6,bicycle,0.17354163798742578,0.3718594365627861,0.04758783429470372,0.623175965665236,0.6951314147568892,0.25,0.6348408710217756,0.32532188841201715,0.4301929625425652,1165.0,15256.0,597.0
robust_seed_29,LowLight,2,0.6,car,0.45479173489208896,0.6777669655372113,0.12205033637263941,0.768106597893832,0.7974163031093717,0.25,0.7606177606177607,0.6350741457124436,0.6921995783555868,4653.0,29283.0,3885.0
robust_seed_29,LowLight,2,0.6,motorcycle,0.13385680151868637,0.2894149522925096,0.08,0.4966442953020134,0.7065049587957495,0.25,0.44554455445544555,0.30201342281879195,0.36,149.0,925.0,101.0
robust_seed_29,LowLight,2,0.6,bus,0.40776457855356457,0.5179131964072992,0.05794556628621598,0.673469387755102,0.8470038306559037,0.25,0.6575342465753424,0.4897959183673469,0.5614035087719297,98.0,1139.0,73.0
robust_seed_29,LowLight,2,0.6,train,0.1523599824025391,0.34810596655168624,0.019329896907216496,0.6521739130434783,0.7094410777584695,0.25,0.47058823529411764,0.34782608695652173,0.39999999999999997,23.0,776.0,17.0
robust_seed_29,LowLight,2,0.6,truck,0.23168038193426566,0.3267298721229774,0.0471311475409836,0.4946236559139785,0.8096370624415613,0.25,0.725,0.3118279569892473,0.43609022556390975,93.0,976.0,40.0
pretrained,LowLight,3,0.4,person,0.15451958596014112,0.293227642085235,0.06662848415425734,0.5139911634756995,0.714498788498758,0.25,0.6658805031446541,0.24948453608247423,0.36297407328048,3395.0,26190.0,1272.0
pretrained,LowLight,3,0.4,bicycle,0.09808560789955957,0.19380206430868582,0.07000642260757868,0.3742489270386266,0.6915013770438723,0.25,0.6076388888888888,0.15021459227467812,0.24088093599449414,1165.0,6228.0,288.0
pretrained,LowLight,3,0.4,car,0.3386044348577878,0.5366729253364723,0.10308610400682013,0.6496883730926284,0.7692757531741714,0.25,0.8513864818024264,0.4223081882656351,0.564574055451803,4653.0,29325.0,2308.0
pretrained,LowLight,3,0.4,motorcycle,0.04741405694467773,0.10854898255077604,0.07423580786026202,0.22818791946308725,0.6858323766376605,0.25,0.5555555555555556,0.06711409395973154,0.11976047904191617,149.0,458.0,18.0
pretrained,LowLight,3,0.4,bus,0.29744779466628074,0.3655437102384433,0.03636363636363636,0.5918367346938775,0.8378136631375693,0.25,0.5205479452054794,0.3877551020408163,0.4444444444444444,98.0,1595.0,73.0
pretrained,LowLight,3,0.4,train,0.06043127494447116,0.1378102095923878,0.015306122448979591,0.2608695652173913,0.6761987032766991,0.25,0.6666666666666666,0.08695652173913043,0.15384615384615383,23.0,392.0,3.0
pretrained,LowLight,3,0.4,truck,0.12997020311240554,0.18364787690303444,0.022251891410769914,0.5376344086021505,0.7800654850849458,0.25,0.24545454545454545,0.2903225806451613,0.2660098522167488,93.0,2247.0,110.0
robust_seed_7,LowLight,3,0.4,person,0.23210750563674534,0.4432788236028571,0.05195153465467223,0.6276877761413844,0.7206878640825147,0.25,0.658500734933856,0.3958762886597938,0.4944812362030904,3395.0,41019.0,2041.0
robust_seed_7,LowLight,3,0.4,bicycle,0.17680363915552463,0.37135536821377624,0.04063268499888218,0.6240343347639485,0.6972223218084848,0.25,0.676923076923077,0.3021459227467811,0.41780415430267065,1165.0,17892.0,520.0
robust_seed_7,LowLight,3,0.4,car,0.44651982920726496,0.6718702811753009,0.11746147715196599,0.7601547388781431,0.7947820710073026,0.25,0.7531337938091583,0.6327100795185902,0.6876897921046485,4653.0,30112.0,3909.0
robust_seed_7,LowLight,3,0.4,motorcycle,0.12459392907995333,0.2870085712480692,0.0784313725490196,0.4563758389261745,0.7005690075634168,0.25,0.527027027027027,0.26174496644295303,0.34977578475336324,149.0,867.0,74.0
robust_seed_7,LowLight,3,0.4,bus,0.3895954976208433,0.4948779006541251,0.06140350877192982,0.7142857142857143,0.8400683808630086,0.25,0.6142857142857143,0.4387755102040816,0.511904761904762,98.0,1140.0,70.0
robust_seed_7,LowLight,3,0.4,train,0.14971157734994966,0.28728706721603836,0.02154398563734291,0.5217391304347826,0.7404004595290877,0.25,0.4444444444444444,0.34782608695652173,0.3902439024390244,23.0,557.0,18.0
robust_seed_7,LowLight,3,0.4,truck,0.22335935597159134,0.32867444956420444,0.045263157894736845,0.46236559139784944,0.8127890327932232,0.25,0.6304347826086957,0.3118279569892473,0.41726618705035967,93.0,950.0,46.0
robust_seed_17,LowLight,3,0.4,person,0.2358909136634601,0.4528891090227208,0.053688095356840056,0.6341678939617084,0.7229872600913816,0.25,0.6582338902147972,0.4061855670103093,0.502367941712204,3395.0,40102.0,2095.0
robust_seed_17,LowLight,3,0.4,bicycle,0.17234717259843654,0.3575805229046052,0.0482162017167382,0.6171673819742489,0.7003947985060479,0.25,0.6391382405745063,0.3055793991416309,0.413472706155633,1165.0,14912.0,557.0
robust_seed_17,LowLight,3,0.4,car,0.4513362333805658,0.6767449638808863,0.11138120169533781,0.768106597893832,0.7955488974860124,0.25,0.7523471200202995,0.6372232967977649,0.6900162904351873,4653.0,32088.0,3941.0
robust_seed_17,LowLight,3,0.4,motorcycle,0.1244715493925432,0.2948710793274422,0.0897597977243995,0.47651006711409394,0.7024258239045298,0.25,0.5125,0.2751677852348993,0.35807860262008734,149.0,791.0,80.0
robust_seed_17,LowLight,3,0.4,bus,0.42803416399792293,0.5582273473008785,0.07391763463569166,0.7142857142857143,0.8269574228784436,0.25,0.7076923076923077,0.46938775510204084,0.5644171779141105,98.0,947.0,65.0
robust_seed_17,LowLight,3,0.4,train,0.17974525948660974,0.3893077811073993,0.01928374655647383,0.6086956521739131,0.7162858329101237,0.25,0.5714285714285714,0.34782608695652173,0.4324324324324324,23.0,726.0,14.0
robust_seed_17,LowLight,3,0.4,truck,0.24327853488286882,0.3359416470317463,0.03698224852071006,0.5376344086021505,0.7994553649781616,0.25,0.5172413793103449,0.3225806451612903,0.3973509933774834,93.0,1352.0,58.0
robust_seed_29,LowLight,3,0.4,person,0.23976587387284248,0.4561681029843998,0.056060567043493936,0.6412371134020619,0.7234680854034046,0.25,0.6448212648945921,0.4144329896907217,0.5045723507261969,3395.0,38833.0,2182.0
robust_seed_29,LowLight,3,0.4,bicycle,0.17294850591657263,0.369183943219297,0.04735812133072407,0.623175965665236,0.6911590219641446,0.25,0.635,0.32703862660944205,0.431728045325779,1165.0,15330.0,600.0
robust_seed_29,LowLight,3,0.4,car,0.45240547723827973,0.6760090955642518,0.12103147567788528,0.7635933806146572,0.7975138512584226,0.25,0.7680479541308314,0.6333548248441866,0.6942285041224971,4653.0,29356.0,3837.0
robust_seed_29,LowLight,3,0.4,motorcycle,0.13424454842857658,0.28056256659046297,0.08285385500575373,0.48322147651006714,0.7131094185999018,0.25,0.4339622641509434,0.3087248322147651,0.36078431372549025,149.0,869.0,106.0
robust_seed_29,LowLight,3,0.4,bus,0.4016500444361677,0.5106845884492756,0.05805892547660312,0.6836734693877551,0.8443804395272403,0.25,0.647887323943662,0.46938775510204084,0.5443786982248521,98.0,1154.0,71.0
robust_seed_29,LowLight,3,0.4,train,0.16050107429966556,0.3628870653552411,0.019157088122605363,0.6521739130434783,0.7115964098626102,0.25,0.4090909090909091,0.391304347826087,0.4,23.0,783.0,22.0
robust_seed_29,LowLight,3,0.4,truck,0.24981571494509786,0.3442438405486682,0.049145299145299144,0.4946236559139785,0.8186148053682342,0.25,0.7435897435897436,0.3118279569892473,0.4393939393939394,93.0,936.0,39.0
pretrained,LowLight,4,0.25,person,0.14010867445295508,0.26901211448617135,0.06512053464873896,0.482179675994109,0.7119253948518832,0.25,0.6768128916741272,0.22268041237113403,0.3351063829787234,3395.0,25138.0,1117.0
pretrained,LowLight,4,0.25,bicycle,0.08410763489461104,0.16418622431250512,0.07158962795941376,0.32703862660944205,0.692201538040296,0.25,0.6180257510729614,0.12360515021459227,0.20600858369098712,1165.0,5322.0,233.0
pretrained,LowLight,4,0.25,car,0.32447518611278797,0.5148639575997673,0.1000375439434793,0.6299161831076725,0.768677088473419,0.25,0.8556844547563806,0.39630346013324735,0.5417156286721504,4653.0,29299.0,2155.0
pretrained,LowLight,4,0.25,motorcycle,0.04479597129110201,0.08845876079147542,0.0935483870967742,0.19463087248322147,0.7052599731788516,0.25,0.5714285714285714,0.053691275167785234,0.09815950920245398,149.0,310.0,14.0
pretrained,LowLight,4,0.25,bus,0.2684310935370877,0.33426820907729665,0.039511494252873564,0.5612244897959183,0.8484359272830151,0.25,0.5,0.32653061224489793,0.39506172839506176,98.0,1392.0,64.0
pretrained,LowLight,4,0.25,train,0.05787553053535284,0.13250106523257366,0.0136986301369863,0.30434782608695654,0.67077205098388,0.25,0.4,0.08695652173913043,0.14285714285714285,23.0,511.0,5.0
pretrained,LowLight,4,0.25,truck,0.11971411753956392,0.1706556505535126,0.025040827436037017,0.4946236559139785,0.7937345882457103,0.25,0.25263157894736843,0.25806451612903225,0.2553191489361702,93.0,1837.0,95.0
robust_seed_7,LowLight,4,0.25,person,0.22321281695069062,0.4286753604935564,0.048255571514617984,0.6135493372606775,0.7186704695196515,0.25,0.6580416032470827,0.3820324005891016,0.4834140887066715,3395.0,43166.0,1971.0
robust_seed_7,LowLight,4,0.25,bicycle,0.16963706861949085,0.36275449758880834,0.03964414790102864,0.6120171673819742,0.6930601997351155,0.25,0.694672131147541,0.2909871244635193,0.4101633393829401,1165.0,17985.0,488.0
robust_seed_7,LowLight,4,0.25,car,0.4399728855752766,0.6639906883247412,0.11304291623578076,0.75177304964539,0.7940602019947476,0.25,0.7536157024793388,0.6271222866967547,0.6845747800586509,4653.0,30944.0,3872.0
robust_seed_7,LowLight,4,0.25,motorcycle,0.12165957640670386,0.2670577716576471,0.07809110629067245,0.48322147651006714,0.6825328712270031,0.25,0.4722222222222222,0.22818791946308725,0.3076923076923077,149.0,922.0,72.0
robust_seed_7,LowLight,4,0.25,bus,0.3809007178025962,0.48273895572441616,0.054502369668246446,0.7040816326530612,0.8410275107452889,0.25,0.6,0.42857142857142855,0.5,98.0,1266.0,70.0
robust_seed_7,LowLight,4,0.25,train,0.15423539694408722,0.3203771711151227,0.02145214521452145,0.5652173913043478,0.7068320140291621,0.25,0.42857142857142855,0.391304347826087,0.4090909090909091,23.0,606.0,21.0
robust_seed_7,LowLight,4,0.25,truck,0.21716297350618988,0.3150159823683688,0.03996101364522417,0.44086021505376344,0.8108469942415789,0.25,0.6190476190476191,0.27956989247311825,0.3851851851851852,93.0,1026.0,42.0
robust_seed_17,LowLight,4,0.25,person,0.2286990517201052,0.4417688872509437,0.051339928921333204,0.6297496318114875,0.7182195356699018,0.25,0.6448007774538387,0.39086892488954345,0.4867045662937832,3395.0,41644.0,2058.0
robust_seed_17,LowLight,4,0.25,bicycle,0.17126337594571067,0.35558709952238754,0.048416751787538306,0.6103004291845494,0.6992250551130482,0.25,0.6566037735849056,0.29871244635193134,0.41061946902654867,1165.0,14685.0,530.0
robust_seed_17,LowLight,4,0.25,car,0.4460954254155996,0.6704488327640047,0.1077464575052341,0.763163550397593,0.7943154692739912,0.25,0.7458787725082424,0.6320653341929938,0.6842717543043276,4653.0,32957.0,3943.0
robust_seed_17,LowLight,4,0.25,motorcycle,0.12546087677695134,0.28298454643792276,0.08482676224611709,0.47651006711409394,0.7052095794441555,0.25,0.4875,0.26174496644295303,0.34061135371179035,149.0,837.0,80.0
robust_seed_17,LowLight,4,0.25,bus,0.4123622398852572,0.52916796932136,0.06374881065651761,0.6836734693877551,0.8352759481766527,0.25,0.7166666666666667,0.4387755102040816,0.5443037974683543,98.0,1051.0,60.0
robust_seed_17,LowLight,4,0.25,train,0.1645705243212982,0.3409305291515715,0.016149068322981366,0.5652173913043478,0.7448160742189582,0.25,0.4375,0.30434782608695654,0.358974358974359,23.0,805.0,16.0
robust_seed_17,LowLight,4,0.25,truck,0.22955814970607177,0.32243506966720487,0.032670454545454544,0.4946236559139785,0.8064378313143349,0.25,0.5254237288135594,0.3333333333333333,0.4078947368421052,93.0,1408.0,59.0
robust_seed_29,LowLight,4,0.25,person,0.23328389826321366,0.4423513851417791,0.05277070929169652,0.629160530191458,0.7249932837968927,0.25,0.6370474847202633,0.39911634756995584,0.4907642158638175,3395.0,40477.0,2127.0
robust_seed_29,LowLight,4,0.25,bicycle,0.1673242699721731,0.35740373388947005,0.046767986432718026,0.615450643776824,0.6880482293341577,0.25,0.6168384879725086,0.30815450643776826,0.4109902690326274,1165.0,15331.0,582.0
robust_seed_29,LowLight,4,0.25,car,0.44599940961177953,0.6721607017192034,0.11892960010717396,0.763163550397593,0.7944164336598287,0.25,0.7677725118483413,0.6266924564796905,0.6900958466453675,4653.0,29858.0,3798.0
robust_seed_29,LowLight,4,0.25,motorcycle,0.12095000479429859,0.27320251689488567,0.07666290868094701,0.4563758389261745,0.6881411170491574,0.25,0.41904761904761906,0.2953020134228188,0.3464566929133858,149.0,887.0,105.0
robust_seed_29,LowLight,4,0.25,bus,0.3802021749802945,0.48620298877607804,0.05541346973572037,0.6632653061224489,0.845948366441143,0.25,0.5789473684210527,0.4489795918367347,0.5057471264367815,98.0,1173.0,76.0
robust_seed_29,LowLight,4,0.25,train,0.15946149165632661,0.3771072654806733,0.01800720288115246,0.6521739130434783,0.6955441760873096,0.25,0.391304347826087,0.391304347826087,0.391304347826087,23.0,833.0,23.0
robust_seed_29,LowLight,4,0.25,truck,0.2232756590827701,0.30982616466560836,0.04783599088838269,0.45161290322580644,0.8214736362662275,0.25,0.7352941176470589,0.26881720430107525,0.39370078740157477,93.0,878.0,34.0
pretrained,LowLight,5,0.1,person,0.09214265086456566,0.18372121793476284,0.0614280800039314,0.36818851251840945,0.6965826560978828,0.25,0.7302158273381295,0.11958762886597939,0.20551759048342194,3395.0,20349.0,556.0
pretrained,LowLight,5,0.1,bicycle,0.04042488348473342,0.07142926429560702,0.07390917186108638,0.1424892703862661,0.7045797214871751,0.25,0.8225806451612904,0.04377682403433476,0.08312958435207823,1165.0,2246.0,62.0
pretrained,LowLight,5,0.1,car,0.2507450348153167,0.40608236443409695,0.0862063132252935,0.5476036965398667,0.7550531338308305,0.25,0.9047970479704797,0.26348592306039115,0.40812250332889477,4653.0,29557.0,1355.0
pretrained,LowLight,5,0.1,motorcycle,0.013657601715227702,0.018226822682268228,0.034722222222222224,0.03355704697986577,0.7267492249120413,0.25,0.25,0.006711409395973154,0.013071895424836602,149.0,144.0,4.0
pretrained,LowLight,5,0.1,bus,0.14544161766737293,0.18519196723237513,0.0532994923857868,0.42857142857142855,0.8289735551570264,0.25,0.4864864864864865,0.1836734693877551,0.26666666666666666,98.0,788.0,37.0
pretrained,LowLight,5,0.1,train,0.05471437334949991,0.11553839197821392,0.009122006841505131,0.34782608695652173,0.6613408670965973,0.25,0.4,0.08695652173913043,0.14285714285714285,23.0,877.0,5.0
pretrained,LowLight,5,0.1,truck,0.07613551187949844,0.11303964576208456,0.04842931937172775,0.3978494623655914,0.7542311260874233,0.25,0.2727272727272727,0.0967741935483871,0.14285714285714285,93.0,764.0,33.0
robust_seed_7,LowLight,5,0.1,person,0.1910328386228619,0.3746839870825986,0.040145985401459854,0.5670103092783505,0.7098461749766565,0.25,0.6901681759379042,0.3142857142857143,0.43189637725156843,3395.0,47950.0,1546.0
robust_seed_7,LowLight,5,0.1,bicycle,0.14516909342092799,0.3008104203666508,0.03407798117695729,0.5656652360515021,0.6905057730475345,0.25,0.6633416458852868,0.22832618025751072,0.3397190293742018,1165.0,19338.0,401.0
