sample_id,distortion,level_index,level,snr_db,orb_clean_keypoints,orb_distorted_keypoints,orb_keypoint_retention,orb_ratio_matches,orb_spatial_inliers,orb_match_retention,orb_inlier_ratio,canny_clean_edge_pixels,canny_distorted_edge_pixels,canny_edge_pixel_retention,canny_precision,canny_recall,canny_f1,seg_mean_iou,seg_classes_present,yolo_detection_objects,gt_detection_objects
lindau_000001_000019,GaussNoise,0,5.0,24.491705818067757,800.0,800.0,1.0,732.0,729.0,0.91125,0.9959016393442623,13913.0,14142.0,1.0164594264357076,0.9694526941026729,0.9824624451951413,0.9759142138646107,0.613335989797123,10,108,5
lindau_000005_000019,GaussNoise,0,5.0,24.772387882624717,800.0,800.0,1.0,706.0,705.0,0.88125,0.9985835694050992,5884.0,3630.0,0.6169272603670972,0.947107438016529,0.5848062542488104,0.7231143059744887,0.49499214015873694,13,145,29
lindau_000007_000019,GaussNoise,0,5.0,24.590704000129584,800.0,800.0,1.0,730.0,729.0,0.91125,0.9986301369863013,7675.0,7751.0,1.0099022801302933,0.9694233002193265,0.9788925081433225,0.9741348930508078,0.41856624366667283,15,125,13
lindau_000009_000019,GaussNoise,0,5.0,22.83978861427842,800.0,800.0,1.0,751.0,749.0,0.93625,0.9973368841544608,9346.0,9607.0,1.0279263856195164,0.9602373269490996,0.9859833083672159,0.9729400246432874,0.4312150352569615,13,150,12
lindau_000013_000019,GaussNoise,0,5.0,25.492121880545536,800.0,800.0,1.0,738.0,733.0,0.91625,0.9932249322493225,12397.0,12613.0,1.0174235702186012,0.9568698961389043,0.9732193272565943,0.9649753651845229,0.5297008263856736,12,73,18
lindau_000015_000019,GaussNoise,0,5.0,25.842815004382523,800.0,800.0,1.0,759.0,756.0,0.945,0.9960474308300395,20708.0,20350.0,0.9827119953641105,0.982014742014742,0.969721846629322,0.97582958129133,0.5515924009698822,11,64,5
lindau_000018_000019,GaussNoise,0,5.0,23.56018687431499,800.0,800.0,1.0,688.0,685.0,0.85625,0.9956395348837209,3323.0,3682.0,1.108034908215468,0.8696360673546986,0.963888052964189,0.9143395567702366,0.3407427376468851,7,68,0
lindau_000019_000019,GaussNoise,0,5.0,23.126592431295236,800.0,800.0,1.0,693.0,684.0,0.855,0.987012987012987,1664.0,1648.0,0.9903846153846154,1.0,0.9921875,0.996078431372549,0.23594360204989137,6,27,0
lindau_000021_000019,GaussNoise,0,5.0,24.203576737775393,800.0,800.0,1.0,697.0,692.0,0.865,0.9928263988522238,5721.0,5933.0,1.0370564586610733,0.9140401146131805,0.9494843558818389,0.9314251604575078,0.5071110913433833,7,2,0
lindau_000022_000019,GaussNoise,0,5.0,25.67787781398677,800.0,800.0,1.0,731.0,726.0,0.9075,0.9931600547195623,4527.0,4653.0,1.0278330019880715,0.9671179883945842,0.9960238568588469,0.9813581134418639,0.4865307562681272,11,32,4
lindau_000025_000019,GaussNoise,0,5.0,23.01080210927992,800.0,800.0,1.0,713.0,711.0,0.88875,0.9971949509116409,4821.0,4803.0,0.9962663347853142,0.9198417655631896,0.9120514416096246,0.9159300389889011,0.46421961577019444,11,90,10
lindau_000026_000019,GaussNoise,0,5.0,23.129378790434263,800.0,800.0,1.0,671.0,668.0,0.835,0.9955290611028316,1101.0,1100.0,0.9990917347865577,0.91,0.9146230699364214,0.9123056782036029,0.4091260967240882,11,22,8
lindau_000027_000019,GaussNoise,0,5.0,23.507406876370048,800.0,800.0,1.0,685.0,682.0,0.8525,0.9956204379562044,867.0,710.0,0.8189158016147635,0.9746478873239437,0.8027681660899654,0.8803974686598595,0.5187522765626408,8,45,6
