distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
SevereJPEG,60.0,3,wall,0.366283329739083,0.4545684853885184,1259181,875884
SevereJPEG,60.0,4,fence,0.3862457383073897,0.58445518657315,2904866,3188452
SevereJPEG,60.0,5,pole,0.29892028136333876,0.4060960053216277,3268173,2498972
SevereJPEG,60.0,6,traffic light,0.37838113819952224,0.42514813023987674,488084,267834
SevereJPEG,60.0,7,traffic sign,0.5116677225378297,0.5947550391920392,1656714,1254365
SevereJPEG,60.0,8,vegetation,0.8618370834153367,0.9402371044995338,37874102,39055986
SevereJPEG,60.0,9,terrain,0.5215671173808184,0.6204236283068671,1774905,1437604
SevereJPEG,60.0,10,sky,0.9201400198858549,0.9516497332631845,7910794,7799206
SevereJPEG,60.0,11,person,0.5584107120800585,0.7108390553851938,3186357,3134761
SevereJPEG,60.0,12,rider,0.22077135466149161,0.2879974631361979,378420,224215
SevereJPEG,60.0,13,car,0.8704069093158626,0.9391790920398265,13170027,13409598
SevereJPEG,60.0,14,truck,0.7769213337580516,0.8387023444252252,866609,795740
SevereJPEG,60.0,15,bus,0.6031674928405308,0.6700991561709693,638992,499095
SevereJPEG,60.0,16,train,0.19844365574914932,0.6405149457164017,63463,182025
SevereJPEG,60.0,17,motorcycle,0.3761672559894892,0.4284595142920274,199132,113002
SevereJPEG,60.0,18,bicycle,0.5355602796062238,0.6839016519036045,1474965,1417272
SevereJPEG,40.0,0,road,0.9593004118301306,0.9784575369940967,83055684,82925073
SevereJPEG,40.0,1,sidewalk,0.7136990300710416,0.7915519035222813,13341609,12015927
SevereJPEG,40.0,2,building,0.8599797355584885,0.9445304893655121,54242339,56566495
SevereJPEG,40.0,3,wall,0.3595975372675531,0.44686665380116125,1259181,868271
SevereJPEG,40.0,4,fence,0.37944701480993026,0.581798265393309,2904866,3239151
SevereJPEG,40.0,5,pole,0.29079671629293213,0.3959294688500272,3268173,2475520
SevereJPEG,40.0,6,traffic light,0.3480546258449073,0.39288319223740176,488084,254624
SevereJPEG,40.0,7,traffic sign,0.5009282986812136,0.5773332029547646,1656714,1209169
SevereJPEG,40.0,8,vegetation,0.8553091298540331,0.9383330593554403,37874102,39214920
SevereJPEG,40.0,9,terrain,0.4864090403641997,0.576690020029241,1774905,1353005
SevereJPEG,40.0,10,sky,0.9196194024283001,0.9504597136520051,7910794,7784187
SevereJPEG,40.0,11,person,0.5546516596795336,0.7116412253868603,3186357,3169415
SevereJPEG,40.0,12,rider,0.2365090124361936,0.31625971143174253,378420,247282
SevereJPEG,40.0,13,car,0.8634008556836751,0.9350527527392313,13170027,13407624
SevereJPEG,40.0,14,truck,0.7544512362760352,0.8264776848613389,866609,798967
SevereJPEG,40.0,15,bus,0.6406387137659061,0.6739583594160803,638992,463888
SevereJPEG,40.0,16,train,0.1705782683106917,0.6297685265430251,63463,210807
SevereJPEG,40.0,17,motorcycle,0.37578641822345005,0.4310356949159352,199132,115110
SevereJPEG,40.0,18,bicycle,0.5214401560995198,0.6761651971402711,1474965,1434981
SevereJPEG,20.0,0,road,0.9462627848367283,0.9741035423897056,83055684,83348484
SevereJPEG,20.0,1,sidewalk,0.623193542821768,0.6904025593914497,13341609,10649922
SevereJPEG,20.0,2,building,0.843730611140929,0.9315449320870915,54242339,56174644
SevereJPEG,20.0,3,wall,0.30045873365288245,0.39402039897361857,1259181,888247
SevereJPEG,20.0,4,fence,0.33359100347443515,0.5865162110747966,2904866,3906190
SevereJPEG,20.0,5,pole,0.2647702535844244,0.37149593978042167,3268173,2531474
SevereJPEG,20.0,6,traffic light,0.36010681320146604,0.42051982855410136,488084,287132
SevereJPEG,20.0,7,traffic sign,0.46180830658152383,0.5298488453649816,1656714,1121900
SevereJPEG,20.0,8,vegetation,0.8218545657514938,0.9176063105073752,37874102,39166110
SevereJPEG,20.0,9,terrain,0.3772370258839888,0.5111405962572645,1774905,1537244
SevereJPEG,20.0,10,sky,0.9155309808425822,0.9443265745511765,7910794,7719186
SevereJPEG,20.0,11,person,0.5150945506539472,0.6822000799031621,3186357,3207442
