distortion,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,50.0,bus,0.011551155115511549,0.0165016501650165,0.0625,0.047619047619047616,0.8153401795049111,21.0,16.0
GaussNoise,50.0,train,0.0,0.0,0.0,0.0,0.0,3.0,177.0
GaussNoise,50.0,truck,0.03840796093102161,0.0627864200047417,0.009411764705882352,0.34782608695652173,0.7807349442654117,23.0,850.0
SevereJPEG,80.0,person,0.18613874198890532,0.3460128328003133,0.062184101700107214,0.5678321678321678,0.7258281708674673,715.0,6529.0
SevereJPEG,80.0,bicycle,0.09683631202748474,0.18683310311804718,0.06845637583892618,0.3669064748201439,0.6883687969471676,278.0,1490.0
SevereJPEG,80.0,car,0.3282162012504835,0.5230164243976059,0.09669749009247028,0.6437994722955145,0.765315143500238,1137.0,7570.0
SevereJPEG,80.0,motorcycle,0.05362018639863817,0.13009599946481135,0.06870229007633588,0.24324324324324326,0.6663128929144952,37.0,131.0
SevereJPEG,80.0,bus,0.3294076883057764,0.42041611796647643,0.02412280701754386,0.5238095238095238,0.8381462886673081,21.0,456.0
SevereJPEG,80.0,train,0.036723672367236726,0.16831683168316833,0.011494252873563218,0.3333333333333333,0.594875202542595,3.0,87.0
SevereJPEG,80.0,truck,0.18917530945418098,0.23889966473919083,0.019971469329529243,0.6086956521739131,0.7836042774415449,23.0,701.0
SevereJPEG,60.0,person,0.1822443883256764,0.33987435407557065,0.06133575647432985,0.5664335664335665,0.7260819792279327,715.0,6603.0
SevereJPEG,60.0,bicycle,0.09356996159993294,0.1825005955049287,0.06608811748998665,0.35611510791366907,0.6923655374179876,278.0,1498.0
SevereJPEG,60.0,car,0.32455682618690485,0.5239680798627524,0.09548200682952455,0.6394019349164468,0.7655923294318476,1137.0,7614.0
SevereJPEG,60.0,motorcycle,0.055015993049168224,0.13285664244173778,0.07586206896551724,0.2972972972972973,0.671778419982255,37.0,145.0
SevereJPEG,60.0,bus,0.347627311992283,0.4463853528209964,0.02666666666666667,0.5714285714285714,0.814582730080636,21.0,450.0
SevereJPEG,60.0,train,0.0504950495049505,0.16831683168316833,0.013157894736842105,0.3333333333333333,0.6067507655664341,3.0,76.0
SevereJPEG,60.0,truck,0.18415736187447157,0.23902077702426167,0.020771513353115726,0.6086956521739131,0.7639269442276669,23.0,674.0
SevereJPEG,40.0,person,0.17872889611252854,0.337086076202748,0.05946511280442253,0.5566433566433566,0.7262103390387932,715.0,6693.0
SevereJPEG,40.0,bicycle,0.09185995616579765,0.1740959262513825,0.06078824315297261,0.3273381294964029,0.6946446861984464,278.0,1497.0
SevereJPEG,40.0,car,0.32617830783902313,0.5258525453341957,0.09542331129262284,0.6473175021987687,0.7637987952224362,1137.0,7713.0
SevereJPEG,40.0,motorcycle,0.04990361343046459,0.1389920330775471,0.058823529411764705,0.21621621621621623,0.6507963670308808,37.0,136.0
SevereJPEG,40.0,bus,0.32928841922653806,0.3963008800880088,0.02546296296296296,0.5238095238095238,0.8668059370359228,21.0,432.0
SevereJPEG,40.0,train,0.07106710671067107,0.33663366336633666,0.010869565217391304,0.3333333333333333,0.5679042811820652,3.0,92.0
SevereJPEG,40.0,truck,0.18550867148783579,0.23442587209228735,0.020348837209302327,0.6086956521739131,0.7877712960263398,23.0,688.0
SevereJPEG,20.0,person,0.17074325611952695,0.3288329674428182,0.055197034189207746,0.5622377622377622,0.7142032074760091,715.0,7283.0
SevereJPEG,20.0,bicycle,0.08234999281896663,0.15065193453908704,0.05930470347648262,0.3129496402877698,0.6862625582470561,278.0,1467.0
SevereJPEG,20.0,car,0.31582374063366125,0.514034121489536,0.08748022873828933,0.6323658751099385,0.7635316240442326,1137.0,8219.0
SevereJPEG,20.0,motorcycle,0.03832048204567254,0.10376176119662908,0.04597701149425287,0.21621621621621623,0.6670054771033977,37.0,174.0
SevereJPEG,20.0,bus,0.3216488008340002,0.41098486232387077,0.027149321266968326,0.5714285714285714,0.8239690738153517,21.0,442.0
SevereJPEG,20.0,train,0.03702970297029703,0.16831683168316833,0.012048192771084338,0.3333333333333333,0.5406366097103299,3.0,83.0
SevereJPEG,20.0,truck,0.1760549167367889,0.2233272509988755,0.01756587202007528,0.6086956521739131,0.7932800372169792,23.0,797.0
SevereJPEG,5.0,person,0.11081686260396421,0.22845910578202114,0.03767480692965978,0.5048951048951049,0.6800064172205594,715.0,9582.0
SevereJPEG,5.0,bicycle,0.04324949149203508,0.07795052684717607,0.060294117647058824,0.1474820143884892,0.6936522482887495,278.0,680.0
SevereJPEG,5.0,car,0.2495916401049106,0.434226847982653,0.06328052190121156,0.5971855760773966,0.7391031303915093,1137.0,10730.0
SevereJPEG,5.0,motorcycle,0.012542631331621442,0.08631565931239998,0.019498607242339833,0.1891891891891892,0.615266973926885,37.0,359.0
SevereJPEG,5.0,bus,0.1872604842901872,0.19762086098719758,0.011904761904761904,0.2857142857142857,0.886202189130939,21.0,504.0
SevereJPEG,5.0,train,0.01122112211221122,0.02805280528052805,0.003278688524590164,0.3333333333333333,0.6869192041419069,3.0,305.0
SevereJPEG,5.0,truck,0.13367337401339177,0.15888798744527513,0.007558139534883721,0.5652173913043478,0.7674711591152277,23.0,1720.0
LowLight,0.8,person,0.18726379177957592,0.3456715102117016,0.0625,0.5734265734265734,0.7243781003003755,715.0,6560.0
LowLight,0.8,bicycle,0.09116786112370072,0.1733573787938871,0.06630211893369788,0.3489208633093525,0.688593348624041,278.0,1463.0
LowLight,0.8,car,0.32905444582229687,0.5259875948242724,0.09808968974393714,0.6367634124890061,0.768281429079563,1137.0,7381.0
LowLight,0.8,motorcycle,0.05622038440008813,0.14113306822485527,0.07751937984496124,0.2702702702702703,0.6735547543338765,37.0,129.0
LowLight,0.8,bus,0.3374719741987467,0.4494092321660295,0.027972027972027972,0.5714285714285714,0.8221471458988862,21.0,429.0
LowLight,0.8,train,0.032060348892032055,0.1122112211221122,0.011235955056179775,0.3333333333333333,0.5756912168842901,3.0,89.0
LowLight,0.8,truck,0.1772413507657042,0.2294054551505039,0.0219435736677116,0.6086956521739131,0.7698349050258034,23.0,638.0
