distortion,level,model,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
MotionBlur,5.0,pretrained,car,0.37169010415813053,0.6047784656179106,0.08506224066390042,0.7454545454545455,0.7474052326156078,55.0,482.0
MotionBlur,5.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,4.0
MotionBlur,5.0,pretrained,bus,,,0.0,0.0,0.0,0.0,7.0
MotionBlur,5.0,pretrained,train,,,0.0,0.0,0.0,0.0,1.0
MotionBlur,5.0,pretrained,truck,0.5504950495049504,1.0,0.05263157894736842,1.0,0.7863245321905128,2.0,38.0
MotionBlur,5.0,fine_tuned,person,0.0019474971063966925,0.005633841253760804,0.008,0.41379310344827586,0.6925697376178945,29.0,1500.0
MotionBlur,5.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
MotionBlur,5.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
MotionBlur,5.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,5.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,5.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,5.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MotionBlur,9.0,pretrained,person,0.2096510369488705,0.3450452082712622,0.06666666666666667,0.5172413793103449,0.7164779570757349,29.0,225.0
MotionBlur,9.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,7.0
MotionBlur,9.0,pretrained,car,0.3815521952695521,0.615332100373936,0.0762081784386617,0.7454545454545455,0.7545606450721632,55.0,538.0
MotionBlur,9.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,7.0
MotionBlur,9.0,pretrained,bus,,,0.0,0.0,0.0,0.0,7.0
MotionBlur,9.0,pretrained,train,,,0.0,0.0,0.0,0.0,2.0
MotionBlur,9.0,pretrained,truck,0.5782812896674283,1.0,0.05,1.0,0.7944063566618081,2.0,40.0
MotionBlur,9.0,fine_tuned,person,0.0013947810540085102,0.0032546768484665854,0.006,0.3103448275862069,0.7533348744759181,29.0,1500.0
MotionBlur,9.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
MotionBlur,9.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
MotionBlur,9.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,9.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,9.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,9.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MotionBlur,15.0,pretrained,person,0.17576895256485553,0.27286497954814787,0.05429864253393665,0.41379310344827586,0.7328292842631124,29.0,221.0
