distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
SevereJPEG,20.0,4,fence,0.08293662173788356,0.3675648195221149,3934,14947
SevereJPEG,20.0,5,pole,0.24972706199057804,0.46481460861819396,107772,142917
SevereJPEG,20.0,6,traffic light,0.5900231296749672,0.6711955685490075,64990,52562
SevereJPEG,20.0,7,traffic sign,0.5927614810695584,0.7050134485647516,90716,81135
SevereJPEG,20.0,8,vegetation,0.7653843670526832,0.8256838863906777,1923821,1740033
SevereJPEG,20.0,9,terrain,0.34305355998143194,0.5226055858998795,148481,155311
SevereJPEG,20.0,10,sky,0.9139638291030461,0.9433280973267755,349503,340925
SevereJPEG,20.0,11,person,0.2136718313130705,0.25492148208970544,97430,43646
SevereJPEG,20.0,12,rider,0.0,0.0,5979,0
SevereJPEG,20.0,13,car,0.8559035392314779,0.9557553826049947,935142,1002863
SevereJPEG,20.0,14,truck,0.4937092645376809,0.5555351269636984,48951,33324
SevereJPEG,20.0,15,bus,,,0,0
SevereJPEG,20.0,16,train,,,0,0
SevereJPEG,20.0,17,motorcycle,0.0,,0,5770
SevereJPEG,20.0,18,bicycle,0.25043488345123505,0.39043572590851566,11062,10503
SevereJPEG,5.0,0,road,0.8756293095888894,0.9733172049843384,3477934,3773142
SevereJPEG,5.0,1,sidewalk,0.1415137087913793,0.16964480603234447,403160,148537
SevereJPEG,5.0,2,building,0.6072251917359166,0.8762902590054293,1572940,2075331
SevereJPEG,5.0,3,wall,0.0,0.0,4345,2407
SevereJPEG,5.0,4,fence,0.0002404258973037953,0.0071174377224199285,3934,112554
SevereJPEG,5.0,5,pole,0.178061845244679,0.3136900122480793,107772,115896
SevereJPEG,5.0,6,traffic light,0.2342857142857143,0.23783659024465303,64990,16442
SevereJPEG,5.0,7,traffic sign,0.007750422001729177,0.0083006305392654,90716,7193
SevereJPEG,5.0,8,vegetation,0.6363460657973272,0.7376112434576814,1923821,1725180
SevereJPEG,5.0,9,terrain,0.0,0.0,148481,350
SevereJPEG,5.0,10,sky,0.7980354210980654,0.8093950552641894,349503,287861
SevereJPEG,5.0,11,person,0.004123836996709056,0.004167094324130145,97430,1428
SevereJPEG,5.0,12,rider,0.0,0.0,5979,0
SevereJPEG,5.0,13,car,0.5386567059638878,0.6250141689711295,935142,734399
SevereJPEG,5.0,14,truck,0.0,0.0,48951,150153
SevereJPEG,5.0,15,bus,,,0,0
SevereJPEG,5.0,16,train,,,0,0
SevereJPEG,5.0,17,motorcycle,0.0,,0,45962
SevereJPEG,5.0,18,bicycle,0.0,0.0,11062,49325
LowLight,0.8,0,road,0.9693848682476084,0.9832285489028831,3477934,3469272
LowLight,0.8,1,sidewalk,0.7092854778642151,0.8026118662565731,403160,376628
LowLight,0.8,2,building,0.8227999362834688,0.9293437766221216,1572940,1665481
LowLight,0.8,3,wall,0.0,0.0,4345,1213
LowLight,0.8,4,fence,0.02262315479893671,0.10167768174885612,3934,14147
LowLight,0.8,5,pole,0.26723606087876883,0.43810080540400104,107772,116122
LowLight,0.8,6,traffic light,0.6743724940150102,0.7065086936451762,64990,49013
LowLight,0.8,7,traffic sign,0.6820255520600463,0.7432316239693109,90716,75564
LowLight,0.8,8,vegetation,0.8585921502859161,0.9250075760686675,1923821,1928364
LowLight,0.8,9,terrain,0.5392806275857391,0.6426142065314754,148481,123867
LowLight,0.8,10,sky,0.916653521843928,0.9477486602403985,349503,343097
LowLight,0.8,11,person,0.2405113302136103,0.2811659653084266,97430,43863
LowLight,0.8,12,rider,0.0,0.0,5979,0
LowLight,0.8,13,car,0.8770012865851209,0.9570813844314553,935142,980396
LowLight,0.8,14,truck,0.6972733791559543,0.8144471001613859,48951,48094
LowLight,0.8,15,bus,,,0,0
LowLight,0.8,16,train,,,0,0
LowLight,0.8,17,motorcycle,,,0,0
LowLight,0.8,18,bicycle,0.22817449291469852,0.371180618333032,11062,11039
LowLight,0.6,0,road,0.9691580752117058,0.9829801255572993,3477934,3468342
LowLight,0.6,1,sidewalk,0.7063363137104607,0.8045639448357972,403160,380434
LowLight,0.6,2,building,0.820415555435827,0.9293571274174476,1572940,1670691
LowLight,0.6,3,wall,0.0,0.0,4345,1837
LowLight,0.6,4,fence,0.025333972004896482,0.12099644128113879,3934,15331
LowLight,0.6,5,pole,0.2720969836917304,0.4373492187210036,107772,112587
LowLight,0.6,6,traffic light,0.6533124473540322,0.6802431143252808,64990,46888
LowLight,0.6,7,traffic sign,0.6716856003686562,0.739108867234005,90716,76155
LowLight,0.6,8,vegetation,0.8576508720808483,0.9260606885983675,1923821,1935027
LowLight,0.6,9,terrain,0.5414823586778587,0.6282217926872798,148481,117064
LowLight,0.6,10,sky,0.916888336521135,0.9477658274750145,349503,343017
LowLight,0.6,11,person,0.2400042610610042,0.2774915323822231,97430,42254
LowLight,0.6,12,rider,0.0,0.0,5979,0
LowLight,0.6,13,car,0.8770290042678717,0.9563435285764087,935142,978887
LowLight,0.6,14,truck,0.6753146312311046,0.7848664991522134,48951,46361
LowLight,0.6,15,bus,,,0,0
LowLight,0.6,16,train,,,0,0
LowLight,0.6,17,motorcycle,,,0,0
LowLight,0.6,18,bicycle,0.23525509922060694,0.3847405532453444,11062,11285
LowLight,0.4,0,road,0.9686494174006337,0.9823015617892692,3477934,3465398
LowLight,0.4,1,sidewalk,0.7074706166130522,0.8111643020140887,403160,386120
LowLight,0.4,2,building,0.822539973154664,0.9311162536396811,1572940,1672220
LowLight,0.4,3,wall,0.0,0.0,4345,1219
LowLight,0.4,4,fence,0.048754116085909474,0.2521606507371632,3934,17405
LowLight,0.4,5,pole,0.27395860717443776,0.42546301451211815,107772,105453
LowLight,0.4,6,traffic light,0.6082682127552307,0.6311894137559625,64990,43470
LowLight,0.4,7,traffic sign,0.6616676368731068,0.739252171612505,90716,77699
LowLight,0.4,8,vegetation,0.8521920375243544,0.9285203768957715,1923821,1958618
LowLight,0.4,9,terrain,0.4894502510715747,0.5560240030711,148481,102755
LowLight,0.4,10,sky,0.9165443145831657,0.9448559812076005,349503,341026
LowLight,0.4,11,person,0.25447899233682725,0.29653084265626606,97430,44991
LowLight,0.4,12,rider,0.0,0.0,5979,0
LowLight,0.4,13,car,0.8721369099606534,0.9535653408787115,935142,979030
LowLight,0.4,14,truck,0.5906144533133337,0.6756756756756757,48951,40125
LowLight,0.4,15,bus,,,0,0
LowLight,0.4,16,train,,,0,0
LowLight,0.4,17,motorcycle,,,0,0
LowLight,0.4,18,bicycle,0.22621672036628795,0.3617790634604954,11062,10631
LowLight,0.25,0,road,0.9692720264970514,0.9818619329751513,3477934,3460026
LowLight,0.25,1,sidewalk,0.6917814834567237,0.8172239309455304,403160,402578
LowLight,0.25,2,building,0.8128728542313951,0.9262985237834882,1572940,1676495
LowLight,0.25,3,wall,0.0,0.0,4345,729
LowLight,0.25,4,fence,0.06480724817907266,0.46365022877478396,3934,26035
LowLight,0.25,5,pole,0.26724727800919534,0.41314070445013545,107772,103359
LowLight,0.25,6,traffic light,0.5230009723988331,0.5379289121403292,64990,36815
LowLight,0.25,7,traffic sign,0.6477527265613537,0.7300035274923938,90716,77742
LowLight,0.25,8,vegetation,0.8485139049453619,0.9259369764650661,1923821,1956877
LowLight,0.25,9,terrain,0.48419960992510797,0.5534310787238771,148481,103404
LowLight,0.25,10,sky,0.9148602935449053,0.9409447129209191,349503,338828
LowLight,0.25,11,person,0.27419242125124477,0.32216976290670224,97430,48437
LowLight,0.25,12,rider,0.0,0.0,5979,0
LowLight,0.25,13,car,0.8682442261871998,0.9445731236539477,935142,965520
LowLight,0.25,14,truck,0.5518298211889304,0.6216216216216216,48951,36620
LowLight,0.25,15,bus,,,0,0
LowLight,0.25,16,train,,,0,0
LowLight,0.25,17,motorcycle,0.0,,0,4238
LowLight,0.25,18,bicycle,0.19550437924909658,0.2885554149340083,11062,8457
LowLight,0.1,0,road,0.9579643549719259,0.9777845122995433,3477934,3472628
LowLight,0.1,1,sidewalk,0.5782641207050783,0.7231471376128584,403160,392555
LowLight,0.1,2,building,0.7314757763160219,0.9215341971085992,1572940,1858213
LowLight,0.1,3,wall,0.0,0.0,4345,3193
LowLight,0.1,4,fence,0.023308121458025535,0.5373665480427047,3934,88878
LowLight,0.1,5,pole,0.21509347896327363,0.31502616635118585,107772,84022
LowLight,0.1,6,traffic light,0.23891208325769953,0.2430220033851362,64990,16912
LowLight,0.1,7,traffic sign,0.45732159898208036,0.570527801049429,90716,74212
LowLight,0.1,8,vegetation,0.7635632346879275,0.8453899817082774,1923821,1832544
LowLight,0.1,9,terrain,0.21558072945971968,0.2322384682215233,148481,45956
LowLight,0.1,10,sky,0.9112796145206143,0.9366700715015321,349503,337107
LowLight,0.1,11,person,0.22754482411699184,0.3249923021656574,97430,73389
LowLight,0.1,12,rider,0.0,0.0,5979,0
LowLight,0.1,13,car,0.8290471935034016,0.9097185240316444,935142,941711
LowLight,0.1,14,truck,0.2479285420461891,0.2585646871361157,48951,14757
LowLight,0.1,15,bus,,,0,0
LowLight,0.1,16,train,,,0,0
