sample_id,orb_keypoints,orb_self_match_retention,canny_edge_pixels,canny_self_f1,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
frankfurt_000001_062653,800.0,1.0,7208.0,1.0,0.5492585934131881,12,18,181
frankfurt_000001_062793,800.0,1.0,10074.0,1.0,0.38025067804417617,16,26,133
frankfurt_000001_064651,800.0,1.0,25719.0,1.0,0.46950087232089965,11,30,195
frankfurt_000001_066438,800.0,1.0,5245.0,1.0,0.3880663289834654,12,12,227
frankfurt_000001_067092,800.0,1.0,39573.0,1.0,0.5140494341460355,9,35,197
frankfurt_000001_067178,800.0,1.0,32969.0,1.0,0.30986855437838123,14,27,194
frankfurt_000001_068208,800.0,1.0,21518.0,1.0,0.48011160885814225,15,19,156
frankfurt_000001_070099,800.0,1.0,17532.0,1.0,0.5293862062583776,13,20,180
frankfurt_000001_073911,800.0,1.0,21607.0,1.0,0.4655065860678481,14,27,130
frankfurt_000001_076502,800.0,1.0,29750.0,1.0,0.549470715636165,15,31,170
frankfurt_000001_077092,800.0,1.0,33698.0,1.0,0.34819185652346846,14,37,210
frankfurt_000001_080091,800.0,1.0,43571.0,1.0,0.46958585285228216,13,17,255
frankfurt_000001_082087,800.0,1.0,5168.0,1.0,0.3364589184752396,16,28,242
lindau_000001_000019,800.0,1.0,13913.0,1.0,0.6087799953466007,10,5,99
lindau_000005_000019,800.0,1.0,5884.0,1.0,0.4498321320987971,14,29,142
lindau_000007_000019,800.0,1.0,7675.0,1.0,0.4140197537467723,15,13,118
lindau_000009_000019,800.0,1.0,9346.0,1.0,0.4367823784210898,13,12,144
lindau_000013_000019,800.0,1.0,12397.0,1.0,0.5721717665811379,11,18,68
lindau_000015_000019,800.0,1.0,20708.0,1.0,0.5633667713750788,11,5,56
lindau_000018_000019,800.0,1.0,3323.0,1.0,0.33779455618693033,7,0,78
lindau_000019_000019,800.0,1.0,1664.0,1.0,0.23406187718754312,6,0,20
lindau_000021_000019,800.0,1.0,5721.0,1.0,0.5040432036878154,7,0,5
