distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
SevereJPEG,20.0,restored,bus,0.033663366336633666,0.16831683168316833,0.022727272727272728,0.5,0.5671782072386079,2.0,44.0
SevereJPEG,20.0,restored,train,,,0.0,0.0,0.0,0.0,9.0
SevereJPEG,20.0,restored,truck,0.33419903528814415,0.6578657865786577,0.0423728813559322,0.8333333333333334,0.736885735826434,6.0,118.0
SevereJPEG,5.0,distorted,person,0.15253582524798268,0.2703825010435082,0.04619388418998048,0.5,0.7076812289022474,142.0,1537.0
SevereJPEG,5.0,distorted,bicycle,0.016255625562556254,0.04257425742574257,0.05128205128205128,0.12,0.6217077908209719,50.0,117.0
SevereJPEG,5.0,distorted,car,0.2738969675783326,0.4594567867351739,0.062196307094266275,0.6336633663366337,0.7487465526364045,202.0,2058.0
SevereJPEG,5.0,distorted,motorcycle,0.06932560816569697,0.48633515036896957,0.026455026455026454,0.7142857142857143,0.6043851896623431,7.0,189.0
SevereJPEG,5.0,distorted,bus,0.0,0.0,0.0,0.0,0.0,2.0,98.0
SevereJPEG,5.0,distorted,train,,,0.0,0.0,0.0,0.0,35.0
SevereJPEG,5.0,distorted,truck,0.19837983798379835,0.3445844584458445,0.023148148148148147,0.8333333333333334,0.7488351272861571,6.0,216.0
SevereJPEG,5.0,restored,person,0.15059562646996447,0.27639902193610016,0.0440499671268902,0.47183098591549294,0.715425501252986,142.0,1521.0
SevereJPEG,5.0,restored,bicycle,0.01491386448595183,0.04754694647546946,0.07142857142857142,0.18,0.6316453414203438,50.0,126.0
SevereJPEG,5.0,restored,car,0.27891029650682814,0.4583113835148285,0.06051732552464617,0.6138613861386139,0.7547738210993598,202.0,2049.0
SevereJPEG,5.0,restored,motorcycle,0.10228442728442728,0.5048326261197548,0.02336448598130841,0.7142857142857143,0.6318381712372607,7.0,214.0
SevereJPEG,5.0,restored,bus,0.0,0.0,0.0,0.0,0.0,2.0,84.0
SevereJPEG,5.0,restored,train,,,0.0,0.0,0.0,0.0,39.0
SevereJPEG,5.0,restored,truck,0.25016556472923035,0.40334747760490325,0.02336448598130841,0.8333333333333334,0.8277417945583935,6.0,214.0
LowLight,0.8,distorted,person,0.21290679483987662,0.3751453214105135,0.07073386383731212,0.5633802816901409,0.7335495365408897,142.0,1131.0
LowLight,0.8,distorted,bicycle,0.06645199447417227,0.14844979375599943,0.03513513513513514,0.26,0.6679649583385527,50.0,370.0
LowLight,0.8,distorted,car,0.363180151617387,0.5600006199852289,0.09078771695594126,0.6732673267326733,0.7821494174003265,202.0,1498.0
LowLight,0.8,distorted,motorcycle,0.24478628350639942,0.5722772277227722,0.08620689655172414,0.7142857142857143,0.6935352295766364,7.0,58.0
LowLight,0.8,distorted,bus,0.0504950495049505,0.2524752475247525,0.017857142857142856,0.5,0.5797246928017508,2.0,56.0
LowLight,0.8,distorted,train,,,0.0,0.0,0.0,0.0,18.0
LowLight,0.8,distorted,truck,0.37712164073550214,0.6962517680339463,0.04672897196261682,0.8333333333333334,0.7836746981692942,6.0,107.0
LowLight,0.8,restored,person,0.2268107007561199,0.37954649164416754,0.07427536231884058,0.5774647887323944,0.7480439933441355,142.0,1104.0
LowLight,0.8,restored,bicycle,0.07094422115219769,0.15689525589472433,0.04381443298969072,0.34,0.6547301374519988,50.0,388.0
LowLight,0.8,restored,car,0.36395026759058896,0.5737964099125235,0.08308248043347381,0.6831683168316832,0.7767643025092174,202.0,1661.0
LowLight,0.8,restored,motorcycle,0.3038943894389439,0.6608910891089109,0.07462686567164178,0.7142857142857143,0.7120140759262604,7.0,67.0
LowLight,0.8,restored,bus,0.027411598302687412,0.10099009900990098,0.013888888888888888,0.5,0.5822172157578843,2.0,72.0
LowLight,0.8,restored,train,,,0.0,0.0,0.0,0.0,11.0
LowLight,0.8,restored,truck,0.38856759844782435,0.6745274527452745,0.029239766081871343,0.8333333333333334,0.7595857145077403,6.0,171.0
LowLight,0.6,distorted,person,0.20768394876628804,0.37252610370865646,0.07104795737122557,0.5633802816901409,0.7311880314063703,142.0,1126.0
LowLight,0.6,distorted,bicycle,0.06291017167912216,0.13820331911311515,0.03504043126684636,0.26,0.658082517538016,50.0,371.0
LowLight,0.6,distorted,car,0.35934204026701877,0.5580469338649733,0.09182984469952735,0.6732673267326733,0.7811026894284994,202.0,1481.0
LowLight,0.6,distorted,motorcycle,0.2260075514299599,0.5471095496646439,0.09090909090909091,0.7142857142857143,0.6954389823197077,7.0,55.0
LowLight,0.6,distorted,bus,0.02945544554455446,0.16831683168316833,0.02,0.5,0.5206625260203352,2.0,50.0
LowLight,0.6,distorted,train,,,0.0,0.0,0.0,0.0,20.0
LowLight,0.6,distorted,truck,0.3993285097740543,0.6695544554455446,0.045871559633027525,0.8333333333333334,0.7832820490961705,6.0,109.0
