sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
munster_000094_000019,GaussNoise,3,35.0,7.233112173351838,17.964508383351404,0.66,0.4325,0.8908249016486424,0.6539822616326033,0.40025686980843045,0.433065307698399,197,248
munster_000139_000019,GaussNoise,3,35.0,9.194485533392907,19.571662932736043,0.5675,0.32125,0.871555732578218,0.6155301394164739,0.4530194271423084,0.4223627050111401,173,284
munster_000159_000019,GaussNoise,3,35.0,10.095829237675975,22.10657762194881,0.5075,0.33875,0.9285973135228822,0.8215137129229221,0.3207295427240467,0.38482539819272055,43,87
frankfurt_000000_009688,GaussNoise,4,50.0,5.908226400515372,19.7037287654459,0.44125,0.28875,0.6829658553287877,0.4498403907672645,0.5240873662411105,0.4526770107832045,19,63
frankfurt_000000_011074,GaussNoise,4,50.0,7.311471089739515,18.737652321398674,0.4575,0.3125,0.7385862553318229,0.6021519535344605,0.3555977065066878,0.4123320705596959,173,77
frankfurt_000000_012868,GaussNoise,4,50.0,7.9782272390879525,17.2819161713837,0.47,0.38875,0.8420032446806804,0.6863341220497988,0.26641179570771095,0.3209713598196589,273,244
frankfurt_000000_016005,GaussNoise,4,50.0,6.658108039515302,17.935723401553187,0.43,0.2975,0.790936089906792,0.6698875947514088,0.28847731083449757,0.2790410863605421,104,146
frankfurt_000000_020321,GaussNoise,4,50.0,6.678447497073013,17.73991384355652,0.46875,0.29875,0.7765971740124741,0.5754079886392376,0.35502548843851306,0.37937725446732606,28,215
frankfurt_000000_022254,GaussNoise,4,50.0,5.123702263589487,17.435241445897002,0.41125,0.29625,0.778800211256927,0.535680501033331,0.37185863331901464,0.39044943327607384,102,208
frankfurt_000001_010830,GaussNoise,4,50.0,6.486933116661274,16.01388590152619,0.62,0.46875,0.8424863446511935,0.731594047562374,0.4393239720250534,0.3333834032564905,234,235
frankfurt_000001_021406,GaussNoise,4,50.0,6.016962220893739,17.348852005174503,0.45375,0.31125,0.8346448250744356,0.5193040908182085,0.5057752358793316,0.4918568351419161,130,76
frankfurt_000001_046779,GaussNoise,4,50.0,6.79711956702268,16.29368490816923,0.47625,0.35,0.8065801597124813,0.6943036117899745,0.32329930988212185,0.29974890754220385,279,255
